time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-05-13 00:00:00+00:00,11,3,83,30
2021-05-14 00:00:00+00:00,98,5,184,27
2021-05-15 00:00:00+00:00,3,3,83,17
2021-05-16 00:00:00+00:00,12,7,63,13
2021-05-17 00:00:00+00:00,119,8,305,38
2021-05-18 00:00:00+00:00,160,14,258,32
2021-05-19 00:00:00+00:00,42,4,161,35
2021-05-20 00:00:00+00:00,44,3,343,31
2021-05-21 00:00:00+00:00,19,4,111,29
2021-05-22 00:00:00+00:00,3,3,47,20
2021-05-23 00:00:00+00:00,1,1,39,14
2021-05-24 00:00:00+00:00,2,2,84,30
2021-05-25 00:00:00+00:00,84,4,173,33
2021-05-26 00:00:00+00:00,2,2,108,42
