time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-07 00:00:00+00:00,171.0,4.0,287.0,51.0
2021-09-08 00:00:00+00:00,352.0,7.0,224.0,45.0
2021-09-09 00:00:00+00:00,43.0,4.0,198.0,40.0
2021-09-10 00:00:00+00:00,,,153.0,33.0
2021-09-11 00:00:00+00:00,1.0,1.0,92.0,27.0
2021-09-12 00:00:00+00:00,2.0,2.0,82.0,25.0
2021-09-13 00:00:00+00:00,43.0,5.0,268.0,47.0
2021-09-14 00:00:00+00:00,190.0,5.0,357.0,47.0
2021-09-15 00:00:00+00:00,139.0,6.0,203.0,45.0
2021-09-16 00:00:00+00:00,207.0,6.0,,
2021-09-17 00:00:00+00:00,171.0,7.0,,
2021-09-18 00:00:00+00:00,19.0,4.0,,
2021-09-19 00:00:00+00:00,70.0,6.0,,
2021-09-20 00:00:00+00:00,166.0,5.0,,
